Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,To what extent are you knowledgeable in conducting research in your field of study?,Please rate your level of confidence in performing the following research tasks on a scale from not at all confident to extremely confident.,,,,,,,,Please rate your ability to do the following on a scale from minimal to extensive.,,,,,,Please rate your agreement with the following statements on a scale from strongly disagree to strongly agree.,,,,,With which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),Are you a first-generation college student?
NA,NA,NA,NA,NA,NA,NA,NA,NA,Response,Research relevant background literature,Identify a scientific problem,Develop testable and realistic research questions,Develop a falsifiable hypothesis,Conduct quantitative data analysis,Design an experiment/Create a research design,Interpret findings and making recommendations,Scientific or technical writing,Judge the value of new information or evidence presented to me,Approach complex issues in a variety of ways,Weigh both sides of an argument,Identify analogies between theories,Eliminate extraneous variables when designing experiments,Rephrase the arguments of others in my own words,I understand the different aspects of ethical research,I am able to adhere to ethics in research,I know where to find resources on ethical research conduct,I am knowledgeable in ethical research conduct,I can conduct ethical research,Response,Response,Response
114628000001,431822954,2024-06-05,2024-06-06,227.224.138.113,coraima59@medhurst.com,Dellia,Collier,24290001,Not knowledgeable at all,Not at all confident,Not at all confident,Extremely confident,Very confident,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Good,Minimal,Minimal,Slight,Moderate,Moderate,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Female,White (Non-Hispanic/Latino),No
114628000002,431822954,2024-06-21,2024-06-22,110.241.132.50,mstamm@hermiston.com,Etter,Williamson,24290002,Not knowledgeable at all,Very confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Not at all confident,Somewhat confident,Very confident,Moderate,Moderate,Minimal,Moderate,Minimal,Good,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Female,Hispanic or Latino,Yes
114628000003,431822954,2024-06-14,2024-06-15,165.58.112.64,precious.feil@gmail.com,Marin,Lind,24290003,Not knowledgeable at all,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Extremely confident,Somewhat confident,Moderate,Minimal,Moderate,Moderate,Moderate,Extensive,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Female,White (Non-Hispanic/Latino),Yes
114628000004,431822954,2024-06-15,2024-06-16,49.34.121.147,ines52@gmail.com,Brook,Harber,24290004,A little knowledgeable,Somewhat confident,Slightly confident,Very confident,Extremely confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Slight,Extensive,Moderate,Minimal,Minimal,Extensive,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Male,Black,Yes
114628000005,431822954,2024-06-15,2024-06-16,115.233.66.80,franz44@hotmail.com,Urban,Gorczany,24290005,Very knowledgeable,Very confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Very confident,Moderate,Extensive,Minimal,Minimal,Good,Moderate,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Male,Hispanic or Latino,No
114628000006,431822954,2024-06-11,2024-06-12,17.228.99.90,gleichner.sylvanus@yahoo.com,Vela,Stanton,24290006,A little knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Slightly confident,Slight,Minimal,Moderate,Minimal,Good,Slight,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Female,American Indian or Alaskan Native,Yes
114628000007,431822954,2024-06-21,2024-06-22,32.194.52.180,elodie77@plc.com,Alexys,Beatty,24290007,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Not at all confident,Slight,Moderate,Slight,Extensive,Slight,Moderate,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Female,White (Non-Hispanic/Latino),No
114628000008,431822954,2024-06-01,2024-06-02,58.79.96.90,chynna.wintheiser@group.com,Maximillian,Ebert,24290008,Not knowledgeable at all,Very confident,Somewhat confident,Not at all confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Moderate,Moderate,Minimal,Minimal,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Male,White (Non-Hispanic/Latino),Yes
114628000009,431822954,2024-06-11,2024-06-12,60.220.231.125,dwyane16@yahoo.com,Rettie,Koch,24290009,Not knowledgeable at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Extremely confident,Slightly confident,Slightly confident,Slightly confident,Moderate,Moderate,Moderate,Extensive,Slight,Extensive,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Female,Hispanic or Latino,No
114628000010,431822954,2024-06-01,2024-06-02,243.66.50.214,joaquin.runolfsdottir@gmail.com,Jeffery,Crist,24290010,Not knowledgeable at all,Very confident,Not at all confident,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Slightly confident,Moderate,Moderate,Good,Slight,Minimal,Extensive,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Male,Do not wish to specify,No
114628000011,431822954,2024-06-14,2024-06-15,69.141.247.233,dot.rice@hotmail.com,Shelvie,Hamill,24290011,Extremely knowledgeable,Somewhat confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Somewhat confident,Very confident,Extensive,Minimal,Minimal,Minimal,Minimal,Extensive,Strongly disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Female,Hispanic or Latino,Yes
114628000012,431822954,2024-06-18,2024-06-19,67.126.120.226,deshawn43@yahoo.com,Angel,Dach,24290012,Not knowledgeable at all,Not at all confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Extensive,Minimal,Slight,Slight,Good,Good,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),Yes
114628000013,431822954,2024-06-03,2024-06-04,133.11.178.230,yveum@casper.com,Lucian,Schamberger,24290013,Not knowledgeable at all,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Moderate,Minimal,Minimal,Moderate,Good,Minimal,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Male,White (Non-Hispanic/Latino),Yes
