respondent_id,collector_id,start_date,end_date,ip_address,email_address,first_name,last_name,unique_id,pre_knowledge,pre_research_1,pre_research_2,pre_research_3,pre_research_4,pre_research_5,pre_research_6,pre_research_7,pre_research_8,pre_ability_1,pre_ability_2,pre_ability_3,pre_ability_4,pre_ability_5,pre_ability_6,pre_ethics_1,pre_ethics_2,pre_ethics_3,pre_ethics_4,pre_ethics_5,gender,role,ethnicity,first_gen,post_knowledge,post_research_1,post_research_2,post_research_3,post_research_4,post_research_5,post_research_6,post_research_7,post_research_8,post_ability_1,post_ability_2,post_ability_3,post_ability_4,post_ability_5,post_ability_6,post_ethics_1,post_ethics_2,post_ethics_3,post_ethics_4,post_ethics_5,post_ethics_1_oe,post_ethics_2_oe,post_ethics_3_oe,post_ethics_4_oe,post_ethics_5_oe
114628000001,431822954,2024-06-11,2024-06-12,227.224.138.113,coraima59@medhurst.com,Jessika,Koch,24290001,Not knowledgeable at all,Not at all confident,Not at all confident,Extremely confident,Very confident,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Good,Minimal,Minimal,Slight,Moderate,Moderate,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Female,Undergraduate student,Native Hawaiian or other Pacific Islander,I'm not sure,A little knowledgeable,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Extremely confident,Very confident,Slightly confident,Very confident,Slight,Good,Extensive,Slight,Extensive,Slight,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,NA,NA,I remain hand young civil yet forget.,NA,NA
114628000002,431822954,2024-06-08,2024-06-09,110.241.132.50,mstamm@hermiston.com,Constance,Cummerata,24290002,Not knowledgeable at all,Very confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Not at all confident,Somewhat confident,Very confident,Moderate,Moderate,Minimal,Moderate,Minimal,Good,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Female,Undergraduate student,White (Non-Hispanic/Latino),Yes,Not knowledgeable at all,Very confident,Not at all confident,Extremely confident,Very confident,Slightly confident,Extremely confident,Somewhat confident,Extremely confident,Extensive,Extensive,Good,Minimal,Minimal,Extensive,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA
114628000003,431822954,2024-06-21,2024-06-22,165.58.112.64,precious.feil@gmail.com,Curtiss,Keebler,24290003,Not knowledgeable at all,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Extremely confident,Somewhat confident,Moderate,Minimal,Moderate,Moderate,Moderate,Extensive,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Male,Undergraduate student,American Indian or Alaskan Native,No,Extremely knowledgeable,Somewhat confident,Very confident,Slightly confident,Slightly confident,Very confident,Somewhat confident,Extremely confident,Very confident,Moderate,Good,Slight,Extensive,Extensive,Moderate,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA
114628000004,431822954,2024-06-08,2024-06-09,49.34.121.147,ines52@gmail.com,Jevon,Willms,24290004,A little knowledgeable,Somewhat confident,Slightly confident,Very confident,Extremely confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Slight,Extensive,Moderate,Minimal,Minimal,Extensive,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Male,Postdoc,Hispanic or Latino,No,Extremely knowledgeable,Slightly confident,Extremely confident,Slightly confident,Slightly confident,Extremely confident,Extremely confident,Somewhat confident,Very confident,Slight,Extensive,Good,Extensive,Slight,Moderate,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA
114628000005,431822954,2024-06-02,2024-06-03,115.233.66.80,franz44@hotmail.com,Bridgett,Streich,24290005,Very knowledgeable,Very confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Very confident,Moderate,Extensive,Minimal,Minimal,Good,Moderate,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Female,Postdoc,White (Non-Hispanic/Latino),No,Very knowledgeable,Very confident,Somewhat confident,Somewhat confident,Very confident,Extremely confident,Extremely confident,Extremely confident,Extremely confident,Good,Extensive,Minimal,Extensive,Slight,Moderate,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA
114628000006,431822954,2024-06-10,2024-06-11,17.228.99.90,gleichner.sylvanus@yahoo.com,Squire,Quigley,24290006,A little knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Slightly confident,Slight,Minimal,Moderate,Minimal,Good,Slight,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Male,Undergraduate student,Black,Yes,A little knowledgeable,Somewhat confident,Very confident,Slightly confident,Slightly confident,Very confident,Somewhat confident,Somewhat confident,Somewhat confident,Moderate,Good,Good,Extensive,Good,Slight,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,NA,NA,NA,Save admit ahead fast stop wait. Perform clear contain quite. Where choose state me science stand.,Realize memory still. Image say picture.
114628000007,431822954,2024-06-23,2024-06-24,32.194.52.180,elodie77@plc.com,Parlee,Emard,24290007,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Not at all confident,Slight,Moderate,Slight,Extensive,Slight,Moderate,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Female,Postdoc,Hispanic or Latino,No,Very knowledgeable,Somewhat confident,Extremely confident,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Extremely confident,Extremely confident,Extensive,Extensive,Good,Extensive,Good,Slight,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Interest other couple article table behavior each. Tend black turn lay picture. Nature able dark.,Strong push near until tax go family behind. Notice say cut child that boy analysis. Similar always indicate nice side financial.,NA,Example recent join anything seat service. Significant around detail who those off across.,NA
114628000008,431822954,2024-06-24,2024-06-25,58.79.96.90,chynna.wintheiser@group.com,Arely,Farrell,24290008,Not knowledgeable at all,Very confident,Somewhat confident,Not at all confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Moderate,Moderate,Minimal,Minimal,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Female,Undergraduate student,Black,No,Very knowledgeable,Extremely confident,Extremely confident,Somewhat confident,Extremely confident,Slightly confident,Extremely confident,Not at all confident,Very confident,Slight,Extensive,Extensive,Extensive,Moderate,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,NA,These successful expect national choice charge. For minute its finally. No year discover why develop.,NA,NA,NA
114628000009,431822954,2024-06-19,2024-06-20,60.220.231.125,dwyane16@yahoo.com,Annemarie,Brekke,24290009,Not knowledgeable at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Extremely confident,Slightly confident,Slightly confident,Slightly confident,Moderate,Moderate,Moderate,Extensive,Slight,Extensive,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Female,Graduate student,Hispanic or Latino,Yes,Somewhat knowledgeable,Somewhat confident,Somewhat confident,Very confident,Extremely confident,Slightly confident,Very confident,Extremely confident,Slightly confident,Extensive,Extensive,Extensive,Extensive,Slight,Extensive,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Agree,NA,NA,Election be would manage special. Foreign blue offer over. Bill quite already pull. And school gun who item.,NA,NA
114628000010,431822954,2024-06-10,2024-06-11,243.66.50.214,joaquin.runolfsdottir@gmail.com,Victoriano,Volkman,24290010,Not knowledgeable at all,Very confident,Not at all confident,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Slightly confident,Moderate,Moderate,Good,Slight,Minimal,Extensive,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Male,Undergraduate student,Do not wish to specify,Yes,Somewhat knowledgeable,Slightly confident,Somewhat confident,Extremely confident,Somewhat confident,Extremely confident,Very confident,Slightly confident,Somewhat confident,Moderate,Extensive,Minimal,Extensive,Extensive,Slight,Disagree,Strongly agree,Disagree,Agree,Disagree,Theory card team year. Value there ago important smile rest job. Husband difference here once morning executive right.,NA,Pay visit land coach effect measure government tax. Recent knowledge smile prevent goal. Near improve person position woman.,NA,Prove trip buy relate ten TV. Management smile lot travel form. Remain experience boy well organization.
